consistency_id,rep,ok,judge_score,ranking,top1,n_candidates
S01_standard_senior_v01,1,True,3.75,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S01_standard_senior_v01,2,True,3.75,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S01_standard_senior_v01,3,True,4.0,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S01_standard_senior_v06,1,True,4.25,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S01_standard_senior_v06,2,True,4.0,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S01_standard_senior_v06,3,True,4.25,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S02_clarify_trigger_v01,1,True,4.5,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S02_clarify_trigger_v01,2,True,4.5,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S02_clarify_trigger_v01,3,True,4.5,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S02_clarify_trigger_v06,1,True,3.75,jplatte|yanns|tottoto|mladedav|Turbo87|davidpdrsn|SabrinaJewson|szabgab,jplatte,8
S02_clarify_trigger_v06,2,True,4.5,jplatte|yanns|tottoto|mladedav|Turbo87|davidpdrsn|SabrinaJewson|szabgab,jplatte,8
S02_clarify_trigger_v06,3,True,4.5,jplatte|yanns|tottoto|mladedav|Turbo87|davidpdrsn|SabrinaJewson|szabgab,jplatte,8
S03_high_activity_low_quality_v01,1,True,4.25,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S03_high_activity_low_quality_v01,2,True,4.0,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S03_high_activity_low_quality_v01,3,True,4.0,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S03_high_activity_low_quality_v06,1,True,4.25,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S03_high_activity_low_quality_v06,2,True,4.5,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S03_high_activity_low_quality_v06,3,True,4.5,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S04_adversarial_spam_v01,1,True,4.5,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S04_adversarial_spam_v01,2,True,4.0,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S04_adversarial_spam_v01,3,True,3.75,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S04_adversarial_spam_v06,1,True,4.25,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S04_adversarial_spam_v06,2,True,4.25,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S04_adversarial_spam_v06,3,True,3.75,jplatte|tottoto|mladedav|Turbo87|davidpdrsn,jplatte,5
S05_repo_404_v01,1,False,0.0,,,0
S05_repo_404_v01,2,False,0.0,,,0
S05_repo_404_v01,3,False,0.0,,,0
S05_repo_404_v06,1,False,0.0,,,0
S05_repo_404_v06,2,False,0.0,,,0
S05_repo_404_v06,3,False,0.0,,,0
